Category	Contracts in Effect	Date
Non-Candidate Issue Ad	150	2014-06-01
Non-Candidate Issue Ad	159	2014-06-02
Non-Candidate Issue Ad	149	2014-06-03
Non-Candidate Issue Ad	150	2014-06-04
Non-Candidate Issue Ad	150	2014-06-05
Non-Candidate Issue Ad	152	2014-06-06
Non-Candidate Issue Ad	147	2014-06-07
Non-Candidate Issue Ad	148	2014-06-08
Non-Candidate Issue Ad	142	2014-06-09
Non-Candidate Issue Ad	151	2014-06-10
Non-Candidate Issue Ad	154	2014-06-11
Non-Candidate Issue Ad	157	2014-06-12
Non-Candidate Issue Ad	157	2014-06-13
Non-Candidate Issue Ad	146	2014-06-14
Non-Candidate Issue Ad	147	2014-06-15
Non-Candidate Issue Ad	155	2014-06-16
Non-Candidate Issue Ad	163	2014-06-17
Non-Candidate Issue Ad	165	2014-06-18
Non-Candidate Issue Ad	166	2014-06-19
Non-Candidate Issue Ad	166	2014-06-20
Non-Candidate Issue Ad	161	2014-06-21
Non-Candidate Issue Ad	161	2014-06-22
Non-Candidate Issue Ad	166	2014-06-23
Non-Candidate Issue Ad	164	2014-06-24
Non-Candidate Issue Ad	152	2014-06-25
Non-Candidate Issue Ad	156	2014-06-26
Non-Candidate Issue Ad	152	2014-06-27
Non-Candidate Issue Ad	147	2014-06-28
Non-Candidate Issue Ad	151	2014-06-29
Non-Candidate Issue Ad	144	2014-06-30
Non-Candidate Issue Ad	161	2014-07-01
Non-Candidate Issue Ad	153	2014-07-02
Non-Candidate Issue Ad	152	2014-07-03
Non-Candidate Issue Ad	137	2014-07-04
Non-Candidate Issue Ad	138	2014-07-05
Non-Candidate Issue Ad	139	2014-07-06
Non-Candidate Issue Ad	150	2014-07-07
Non-Candidate Issue Ad	180	2014-07-08
Non-Candidate Issue Ad	207	2014-07-09
Non-Candidate Issue Ad	215	2014-07-10
Non-Candidate Issue Ad	252	2014-07-11
Non-Candidate Issue Ad	269	2014-07-12
Non-Candidate Issue Ad	293	2014-07-13
Non-Candidate Issue Ad	338	2014-07-14
Non-Candidate Issue Ad	381	2014-07-15
Non-Candidate Issue Ad	398	2014-07-16
Non-Candidate Issue Ad	416	2014-07-17
Non-Candidate Issue Ad	409	2014-07-18
Non-Candidate Issue Ad	413	2014-07-19
Non-Candidate Issue Ad	408	2014-07-20
Non-Candidate Issue Ad	414	2014-07-21
Non-Candidate Issue Ad	490	2014-07-22
Non-Candidate Issue Ad	501	2014-07-23
Non-Candidate Issue Ad	510	2014-07-24
Non-Candidate Issue Ad	518	2014-07-25
Non-Candidate Issue Ad	583	2014-07-26
Non-Candidate Issue Ad	582	2014-07-27
Non-Candidate Issue Ad	581	2014-07-28
Non-Candidate Issue Ad	599	2014-07-29
Non-Candidate Issue Ad	570	2014-07-30
Non-Candidate Issue Ad	592	2014-07-31
Non-Candidate Issue Ad	596	2014-08-01
Non-Candidate Issue Ad	608	2014-08-02
Non-Candidate Issue Ad	618	2014-08-03
Non-Candidate Issue Ad	675	2014-08-04
Non-Candidate Issue Ad	698	2014-08-05
Non-Candidate Issue Ad	702	2014-08-06
Non-Candidate Issue Ad	715	2014-08-07
Non-Candidate Issue Ad	706	2014-08-08
Non-Candidate Issue Ad	670	2014-08-09
Non-Candidate Issue Ad	546	2014-08-10
Non-Candidate Issue Ad	537	2014-08-11
Non-Candidate Issue Ad	567	2014-08-12
Non-Candidate Issue Ad	554	2014-08-13
Non-Candidate Issue Ad	519	2014-08-14
Non-Candidate Issue Ad	514	2014-08-15
Non-Candidate Issue Ad	490	2014-08-16
Non-Candidate Issue Ad	495	2014-08-17
Non-Candidate Issue Ad	510	2014-08-18
Non-Candidate Issue Ad	558	2014-08-19
Non-Candidate Issue Ad	612	2014-08-20
Non-Candidate Issue Ad	626	2014-08-21
Non-Candidate Issue Ad	643	2014-08-22
Non-Candidate Issue Ad	644	2014-08-23
Non-Candidate Issue Ad	641	2014-08-24
Non-Candidate Issue Ad	673	2014-08-25
Non-Candidate Issue Ad	685	2014-08-26
Non-Candidate Issue Ad	666	2014-08-27
Non-Candidate Issue Ad	667	2014-08-28
Non-Candidate Issue Ad	617	2014-08-29
Non-Candidate Issue Ad	607	2014-08-30
Non-Candidate Issue Ad	598	2014-08-31
Non-Candidate Issue Ad	571	2014-09-01
Non-Candidate Issue Ad	617	2014-09-02
Non-Candidate Issue Ad	681	2014-09-03
Non-Candidate Issue Ad	703	2014-09-04
Non-Candidate Issue Ad	698	2014-09-05
Non-Candidate Issue Ad	697	2014-09-06
Non-Candidate Issue Ad	692	2014-09-07
Non-Candidate Issue Ad	600	2014-09-08
Non-Candidate Issue Ad	665	2014-09-09
Non-Candidate Issue Ad	627	2014-09-10
